104.31 28.00 17 2.90 0.79 -3.68 -1.26 -0.04 -2.49 23 X Y 200608250551A  
100.89 20.52 13 -0.23 -3.03 3.25 0.35 0.40 1.04 25 X Y 200705160856A  
101.13 23.02 12 0.94 -1.85 0.91 -0.28 -0.22 0.84 25 X Y 200706022134A  
100.00 21.49 16 -0.55 -2.49 3.04 0.20 0.86 1.64 24 X Y 200706230817A  
99.93 21.46 18 -0.64 -0.85 1.48 0.46 0.41 0.82 24 X Y 200706230827A  
97.81 24.54 18 -1.08 -1.77 2.85 0.81 0.53 5.51 23 X Y 200803211237A  
98.03 25.09 19 -3.36 1.16 2.20 1.24 -0.01 2.34 23 X Y 200808192135A  
97.99 24.92 18 -0.07 0.36 -0.28 0.24 0.05 1.25 25 X Y 200808211224A  
102.04 26.19 24 0.02 -0.37 0.35 -0.01 -0.07 -1.03 25 X Y 200808300830A  
102.01 26.16 25 -0.08 -0.97 1.05 -0.66 -0.18 -2.39 24 X Y 200808310831A  
98.02 24.84 18 -0.62 1.09 -0.47 -0.14 -0.35 3.53 23 X Y 200809030627A  
101.17 25.52 15 -0.41 -3.52 3.93 0.51 -0.04 -3.42 24 X Y 200907091119A  
101.10 25.54 15 0.61 -4.75 4.14 -0.56 0.63 -4.93 23 X Y 200907100902A  
102.04 25.40 25 -0.75 -2.98 3.73 -1.80 -0.52 -5.88 23 X Y 201002250456A  
97.98 24.64 15 0.35 -1.68 1.33 -0.09 0.33 1.18 24 X Y 201103100458A  
100.02 20.62 13 0.11 -1.50 1.39 0.34 0.32 1.67 26 X Y 201103241355A  
99.90 20.61 14 0.13 -1.52 1.39 1.07 1.13 3.41 24 X Y 201103241554A  
99.95 20.60 12 -0.24 1.55 -1.31 2.54 1.21 3.04 23 X Y 201103250022A  
100.29 20.68 15 -0.77 -2.78 3.54 0.09 -0.83 1.26 23 X Y 201103260557A  
98.80 25.00 16 2.90 -5.45 2.55 0.17 -0.05 0.99 23 X Y 201106201016A  
98.73 24.98 20 -0.45 -3.48 3.93 0.01 -0.48 4.83 23 X Y 201108091150A  
97.67 25.09 18 -0.12 4.31 -4.19 0.96 -0.65 5.27 23 X Y 201111281506A  
100.75 27.72 12 -2.24 0.05 2.19 0.80 0.79 -1.22 24 X Y 201206240759A  
104.12 27.47 12 1.70 0.69 -2.39 -0.97 -0.23 -1.78 24 X Y 201209070319A  
104.19 27.47 12 0.46 0.55 -1.02 -0.38 0.30 -0.46 24 X Y 201209070416A  
99.84 25.94 12 -1.27 -0.19 1.46 0.28 0.27 -0.22 24 X Y 201303030541A  
99.91 26.14 21 -0.99 0.08 0.91 1.01 0.05 -0.03 24 X Y 201304170146A  
99.50 28.14 12 -5.58 7.05 -1.47 0.09 -2.70 -0.01 23 X Y 201308272044A  
99.40 28.15 13 -4.14 4.43 -0.29 0.46 -0.31 -0.91 24 X Y 201308310004A  
99.29 28.20 24 -4.70 3.18 1.52 1.06 0.93 -1.35 23 X Y 201308310027A  
97.90 24.96 20 -0.31 -3.67 3.98 0.28 0.35 2.95 24 X Y 201405232049A  
97.90 24.93 15 -0.73 -2.13 2.86 0.78 1.97 8.40 24 X Y 201405300120A  
103.50 27.06 15 -0.02 1.31 -1.29 -0.06 -0.36 -1.64 25 X Y 201408030830A  
103.67 28.06 22 -0.48 5.56 -5.07 -1.31 -0.39 -0.23 23 X Y 201408162207A  
102.87 28.31 25 1.18 3.01 -4.20 -2.09 3.11 -6.93 23 X Y 201410010123A  
100.54 23.38 12 -0.03 -1.61 1.64 0.16 0.33 0.90 25 X Y 201410071349A  
100.59 23.28 12 -0.08 -1.27 1.35 0.42 1.22 2.78 24 X Y 201412051843A  
100.58 23.30 15 -0.12 -1.48 1.60 0.72 0.71 1.92 24 X Y 201412061020A  
99.04 23.49 18 0.03 -0.63 0.60 0.00 0.44 0.60 24 X Y 201503011024A  
99.64 26.07 19 -0.73 -2.72 3.44 -0.16 0.45 -3.00 23 X Y 201605171648A  
103.54 27.00 22 1.21 2.31 -3.52 -0.73 0.12 -3.64 23 X Y 201702081111A  
99.82 25.75 23 0.08 -4.24 4.16 0.25 0.25 0.91 23 X Y 201703262340A  
99.84 25.82 20 0.08 -5.05 4.97 0.26 0.36 0.52 23 X Y 201703262355A  
102.82 24.22 18 0.08 -3.56 3.49 2.67 -1.37 -4.13 23 X Y 201808121744A  
101.64 23.24 14 -0.16 -3.45 3.61 -0.44 -0.47 -1.13 24 X Y 201809080231A  
102.18 27.71 29 0.01 -0.35 0.35 0.41 -0.13 -4.05 23 X Y 201810310829A 
