


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
               162    0.4901733398     2.7608066789
               163    0.4901123047     2.7608090066
               164    0.4900512695     2.7608113360
               165    0.4899902344     2.7608136673
               166    0.4899291992     2.7608160003
               167    0.4898681641     2.7608183351
               168    0.4898071289     2.7608206717
               169    0.4897460938     2.7608230101
               170    0.4896850586     2.7608253502
               171    0.4896240234     2.7608276922
               172    0.4895629883     2.7608300360
               173    0.4895019531     2.7608323816
               174    0.4894409180     2.7608347290
               175    0.4893798828     2.7608370782
               176    0.4893188477     2.7608394292
               177    0.4892578125     2.7608417820
               178    0.4891967773     2.7608441366
               179    0.4891357422     2.7608464930
               180    0.4890747070     2.7608488512
               181    0.4890136719     2.7608512113
               182    0.4889526367     2.7608535731
               183    0.4888916016     2.7608559368
               184    0.4888305664     2.7608583023
               185    0.4887695312     2.7608606696
               186    0.4887084961     2.7608630387
               187    0.4886474609     2.7608654096
               188    0.4885864258     2.7608677824
               189    0.4885253906     2.7608701569
               190    0.4884643555     2.7608725334
               191    0.4884033203     2.7608749116
               192    0.4883422852     2.7608772917
               193    0.4882812500     2.7608796735
               194    0.4882202148     2.7608820572
               195    0.4881591797     2.7608844428
               196    0.4880981445     2.7608868302
               197    0.4880371094     2.7608892194
               198    0.4879760742     2.7608916104
               199    0.4879150391     2.7608940033
               200    0.4878540039     2.7608963980
               201    0.4877929688     2.7608987946
               202    0.4877319336     2.7609011930
               203    0.4876708984     2.7609035932
               204    0.4876098633     2.7609059953
               205    0.4875488281     2.7609083993
               206    0.4874877930     2.7609108051
               207    0.4874267578     2.7609132127
               208    0.4873657227     2.7609156221
               209    0.4873046875     2.7609180335
               210    0.4872436523     2.7609204467
               211    0.4871826172     2.7609228617
               212    0.4871215820     2.7609252786
               213    0.4870605469     2.7609276973
               214    0.4869995117     2.7609301179
               215    0.4869384766     2.7609325404
               216    0.4868774414     2.7609349648
               217    0.4868164062     2.7609373909
               218    0.4867553711     2.7609398190
               219    0.4866943359     2.7609422489
               220    0.4866333008     2.7609446807
               221    0.4865722656     2.7609471143
               222    0.4865112305     2.7609495499
               223    0.4864501953     2.7609519873
               224    0.4863891602     2.7609544266
               225    0.4863281250     2.7609568677
               226    0.4862670898     2.7609593107
               227    0.4862060547     2.7609617556
               228    0.4861450195     2.7609642024
               229    0.4860839844     2.7609666510
               230    0.4860229492     2.7609691016
               231    0.4859619141     2.7609715540
               232    0.4859008789     2.7609740083
               233    0.4858398438     2.7609764645
               234    0.4857788086     2.7609789225
               235    0.4857177734     2.7609813825
               236    0.4856567383     2.7609838444
               237    0.4855957031     2.7609863081
               238    0.4855346680     2.7609887738
               239    0.4854736328     2.7609912413
               240    0.4854125977     2.7609937107
               241    0.4853515625     2.7609961820
               242    0.4852905273     2.7609986553
               243    0.4852294922     2.7610011304
               244    0.4851684570     2.7610036074
               245    0.4851074219     2.7610060863
               246    0.4850463867     2.7610085672
               247    0.4849853516     2.7610110499
               248    0.4849243164     2.7610135346
               249    0.4848632812     2.7610160211
               250    0.4848022461     2.7610185096
               251    0.4847412109     2.7610210000
               252    0.4846801758     2.7610234923
               253    0.4846191406     2.7610259865
               254    0.4845581055     2.7610284826
               255    0.4844970703     2.7610309807
               256    0.4844360352     2.7610334806
               257    0.4843750000     2.7610359825
               258    0.4843139648     2.7610384863
               259    0.4842529297     2.7610409921
               260    0.4841918945     2.7610434997
               261    0.4841308594     2.7610460093
               262    0.4840698242     2.7610485208
               263    0.4840087891     2.7610510343
               264    0.4839477539     2.7610535496
               265    0.4838867188     2.7610560669
               266    0.4838256836     2.7610585862
               267    0.4837646484     2.7610611074
               268    0.4837036133     2.7610636305
               269    0.4836425781     2.7610661555
               270    0.4835815430     2.7610686825
               271    0.4835205078     2.7610712115
               272    0.4834594727     2.7610737424
               273    0.4833984375     2.7610762752
               274    0.4833374023     2.7610788100
               275    0.4832763672     2.7610813467
               276    0.4832153320     2.7610838854
               277    0.4831542969     2.7610864260
               278    0.4830932617     2.7610889686
               279    0.4830322266     2.7610915131
               280    0.4829711914     2.7610940596
               281    0.4829101562     2.7610966080
               282    0.4828491211     2.7610991584
               283    0.4827880859     2.7611017108
               284    0.4827270508     2.7611042651
               285    0.4826660156     2.7611068214
               286    0.4826049805     2.7611093796
               287    0.4825439453     2.7611119399
               288    0.4824829102     2.7611145020
               289    0.4824218750     2.7611170662
               290    0.4823608398     2.7611196323
               291    0.4822998047     2.7611222004
               292    0.4822387695     2.7611247705
               293    0.4821777344     2.7611273425
               294    0.4821166992     2.7611299165
               295    0.4820556641     2.7611324926
               296    0.4819946289     2.7611350705
               297    0.4819335938     2.7611376505
               298    0.4818725586     2.7611402324
               299    0.4818115234     2.7611428164
               300    0.4817504883     2.7611454023
               301    0.4816894531     2.7611479902
               302    0.4816284180     2.7611505801
               303    0.4815673828     2.7611531720
               304    0.4815063477     2.7611557658
               305    0.4814453125     2.7611583617
               306    0.4813842773     2.7611609596
               307    0.4813232422     2.7611635594
               308    0.4812622070     2.7611661613
               309    0.4812011719     2.7611687652
               310    0.4811401367     2.7611713710
               311    0.4810791016     2.7611739789
               312    0.4810180664     2.7611765888
               313    0.4809570312     2.7611792006
               314    0.4808959961     2.7611818145
               315    0.4808349609     2.7611844304
               316    0.4807739258     2.7611870483
               317    0.4807128906     2.7611896682
               318    0.4806518555     2.7611922902
               319    0.4805908203     2.7611949141
               320    0.4805297852     2.7611975401
               321    0.4804687500     2.7612001681
               322    0.4804077148     2.7612027981
               323    0.4803466797     2.7612054301
               324    0.4802856445     2.7612080641
               325    0.4802246094     2.7612107002
               326    0.4801635742     2.7612133383
               327    0.4801025391     2.7612159784
               328    0.4800415039     2.7612186206
               329    0.4799804688     2.7612212648
               330    0.4799194336     2.7612239110
               331    0.4798583984     2.7612265592
               332    0.4797973633     2.7612292095
               333    0.4797363281     2.7612318619
               334    0.4796752930     2.7612345162
               335    0.4796142578     2.7612371727
               336    0.4795532227     2.7612398311
               337    0.4794921875     2.7612424916
               338    0.4794311523     2.7612451541
               339    0.4793701172     2.7612478187
               340    0.4793090820     2.7612504853
               341    0.4792480469     2.7612531540
               342    0.4791870117     2.7612558248
               343    0.4791259766     2.7612584976
               344    0.4790649414     2.7612611724
               345    0.4790039062     2.7612638493
               346    0.4789428711     2.7612665283
               347    0.4788818359     2.7612692093
               348    0.4788208008     2.7612718924
               349    0.4787597656     2.7612745775
               350    0.4786987305     2.7612772647
               351    0.4786376953     2.7612799540
               352    0.4785766602     2.7612826453
               353    0.4785156250     2.7612853388
               354    0.4784545898     2.7612880342
               355    0.4783935547     2.7612907318
               356    0.4783325195     2.7612934314
               357    0.4782714844     2.7612961331
               358    0.4782104492     2.7612988369
               359    0.4781494141     2.7613015428
               360    0.4780883789     2.7613042507
               361    0.4780273438     2.7613069607
               362    0.4779663086     2.7613096729
               363    0.4779052734     2.7613123870
               364    0.4778442383     2.7613151033
               365    0.4777832031     2.7613178217
               366    0.4777221680     2.7613205422
               367    0.4776611328     2.7613232647
               368    0.4776000977     2.7613259894
               369    0.4775390625     2.7613287161
               370    0.4774780273     2.7613314449
               371    0.4774169922     2.7613341759
               372    0.4773559570     2.7613369089
               373    0.4772949219     2.7613396440
               374    0.4772338867     2.7613423813
               375    0.4771728516     2.7613451206
               376    0.4771118164     2.7613478621
               377    0.4770507812     2.7613506056
               378    0.4769897461     2.7613533513
               379    0.4769287109     2.7613560991
               380    0.4768676758     2.7613588490
               381    0.4768066406     2.7613616010
               382    0.4767456055     2.7613643551
               383    0.4766845703     2.7613671114
               384    0.4766235352     2.7613698697
               385    0.4765625000     2.7613726302
               386    0.4765014648     2.7613753928
               387    0.4764404297     2.7613781575
               388    0.4763793945     2.7613809244
               389    0.4763183594     2.7613836934
               390    0.4762573242     2.7613864645
               391    0.4761962891     2.7613892377
               392    0.4761352539     2.7613920131
               393    0.4760742188     2.7613947906
               394    0.4760131836     2.7613975703
               395    0.4759521484     2.7614003521
               396    0.4758911133     2.7614031360
               397    0.4758300781     2.7614059221
               398    0.4757690430     2.7614087103
               399    0.4757080078     2.7614115006
               400    0.4756469727     2.7614142931
               401    0.4755859375     2.7614170878
               402    0.4755249023     2.7614198846
               403    0.4754638672     2.7614226835
               404    0.4754028320     2.7614254846
