


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
               248    0.2587890625     2.3551328233
               249    0.2578125000     2.3556133957
               250    0.2568359375     2.3560994486
               251    0.2558593750     2.3565910814
               252    0.2548828125     2.3570883958
               253    0.2539062500     2.3575914959
               254    0.2529296875     2.3581004879
               255    0.2519531250     2.3586154803
               256    0.2509765625     2.3591365843
               257    0.2500000000     2.3596639132
               258    0.2490234375     2.3601975830
               259    0.2480468750     2.3607377123
               260    0.2470703125     2.3612844224
               261    0.2460937500     2.3618378370
               262    0.2451171875     2.3623980829
               263    0.2441406250     2.3629652895
               264    0.2431640625     2.3635395894
               265    0.2421875000     2.3641211178
               266    0.2412109375     2.3647100132
               267    0.2402343750     2.3653064171
               268    0.2392578125     2.3659104744
               269    0.2382812500     2.3665223329
               270    0.2373046875     2.3671421442
               271    0.2363281250     2.3677700629
               272    0.2353515625     2.3684062475
               273    0.2343750000     2.3690508599
               274    0.2333984375     2.3697040657
               275    0.2324218750     2.3703660344
               276    0.2314453125     2.3710369392
               277    0.2304687500     2.3717169575
               278    0.2294921875     2.3724062705
               279    0.2285156250     2.3731050640
               280    0.2275390625     2.3738135276
               281    0.2265625000     2.3745318556
               282    0.2255859375     2.3752602468
               283    0.2246093750     2.3759989044
               284    0.2236328125     2.3767480365
               285    0.2226562500     2.3775078561
               286    0.2216796875     2.3782785809
               287    0.2207031250     2.3790604340
               288    0.2197265625     2.3798536436
               289    0.2187500000     2.3806584431
               290    0.2177734375     2.3814750717
               291    0.2167968750     2.3823037740
               292    0.2158203125     2.3831448004
               293    0.2148437500     2.3839984073
               294    0.2138671875     2.3848648572
               295    0.2128906250     2.3857444187
               296    0.2119140625     2.3866373669
               297    0.2109375000     2.3875439833
               298    0.2099609375     2.3884645563
               299    0.2089843750     2.3893993810
               300    0.2080078125     2.3903487597
               301    0.2070312500     2.3913130020
               302    0.2060546875     2.3922924247
               303    0.2050781250     2.3932873525
               304    0.2041015625     2.3942981176
               305    0.2031250000     2.3953250606
               306    0.2021484375     2.3963685299
               307    0.2011718750     2.3974288828
               308    0.2001953125     2.3985064848
               309    0.1992187500     2.3996017105
               310    0.1982421875     2.4007149437
               311    0.1972656250     2.4018465773
               312    0.1962890625     2.4029970139
               313    0.1953125000     2.4041666659
               314    0.1943359375     2.4053559558
               315    0.1933593750     2.4065653164
               316    0.1923828125     2.4077951910
               317    0.1914062500     2.4090460339
               318    0.1904296875     2.4103183104
               319    0.1894531250     2.4116124973
               320    0.1884765625     2.4129290831
               321    0.1875000000     2.4142685682
               322    0.1865234375     2.4156314653
               323    0.1855468750     2.4170182997
               324    0.1845703125     2.4184296098
               325    0.1835937500     2.4198659468
               326    0.1826171875     2.4213278760
               327    0.1816406250     2.4228159760
               328    0.1806640625     2.4243308399
               329    0.1796875000     2.4258730755
               330    0.1787109375     2.4274433051
               331    0.1777343750     2.4290421665
               332    0.1767578125     2.4306703130
               333    0.1757812500     2.4323284139
               334    0.1748046875     2.4340171547
               335    0.1738281250     2.4357372378
               336    0.1728515625     2.4374893824
               337    0.1718750000     2.4392743251
               338    0.1708984375     2.4410928204
               339    0.1699218750     2.4429456410
               340    0.1689453125     2.4448335778
               341    0.1679687500     2.4467574410
               342    0.1669921875     2.4487180597
               343    0.1660156250     2.4507162827
               344    0.1650390625     2.4527529787
               345    0.1640625000     2.4548290368
               346    0.1630859375     2.4569453667
               347    0.1621093750     2.4591028988
               348    0.1611328125     2.4613025851
               349    0.1601562500     2.4635453990
               350    0.1591796875     2.4658323356
               351    0.1582031250     2.4681644121
               352    0.1572265625     2.4705426682
               353    0.1562500000     2.4729681657
               354    0.1552734375     2.4754419894
               355    0.1542968750     2.4779652466
               356    0.1533203125     2.4805390676
               357    0.1523437500     2.4831646054
               358    0.1513671875     2.4858430360
               359    0.1503906250     2.4885755581
               360    0.1494140625     2.4913633929
               361    0.1484375000     2.4942077843
               362    0.1474609375     2.4971099978
               363    0.1464843750     2.5000713211
               364    0.1455078125     2.5030930626
               365    0.1445312500     2.5061765517
               366    0.1435546875     2.5093231372
               367    0.1425781250     2.5125341873
               368    0.1416015625     2.5158110879
               369    0.1406250000     2.5191552418
               370    0.1396484375     2.5225680673
               371    0.1386718750     2.5260509964
               372    0.1376953125     2.5296054737
               373    0.1367187500     2.5332329537
               374    0.1357421875     2.5369348990
               375    0.1347656250     2.5407127780
               376    0.1337890625     2.5445680617
               377    0.1328125000     2.5485022211
               378    0.1318359375     2.5525167235
               379    0.1308593750     2.5566130293
               380    0.1298828125     2.5607925871
               381    0.1289062500     2.5650568304
               382    0.1279296875     2.5694071716
               383    0.1269531250     2.5738449975
               384    0.1259765625     2.5783716632
               385    0.1250000000     2.5829884861
               386    0.1240234375     2.5876967390
               387    0.1230468750     2.5924976429
               388    0.1220703125     2.5973923595
               389    0.1210937500     2.6023819829
               390    0.1201171875     2.6074675303
               391    0.1191406250     2.6126499334
               392    0.1181640625     2.6179300283
               393    0.1171875000     2.6233085449
               394    0.1162109375     2.6287860963
               395    0.1152343750     2.6343631675
               396    0.1142578125     2.6400401036
               397    0.1132812500     2.6458170979
               398    0.1123046875     2.6516941795
               399    0.1113281250     2.6576712010
               400    0.1103515625     2.6637478258
               401    0.1093750000     2.6699235157
               402    0.1083984375     2.6761975187
               403    0.1074218750     2.6825688573
               404    0.1064453125     2.6890363168
               405    0.1054687500     2.6955984354
               406    0.1044921875     2.7022534944
               407    0.1035156250     2.7089995101
               408    0.1025390625     2.7158342269
               409    0.1015625000     2.7227551130
               410    0.1005859375     2.7297593572
               411    0.0996093750     2.7368438686
               412    0.0986328125     2.7440052788
               413    0.0976562500     2.7512399473
               414    0.0966796875     2.7585439695
               415    0.0957031250     2.7659131884
               416    0.0947265625     2.7733432099
               417    0.0937500000     2.7808294216
               418    0.0927734375     2.7883670153
               419    0.0917968750     2.7959510133
               420    0.0908203125     2.8035762987
               421    0.0898437500     2.8112376482
               422    0.0888671875     2.8189297697
               423    0.0878906250     2.8266473413
               424    0.0869140625     2.8343850546
               425    0.0859375000     2.8421376585
               426    0.0849609375     2.8499000060
               427    0.0839843750     2.8576671017
               428    0.0830078125     2.8654341498
               429    0.0820312500     2.8731966023
               430    0.0810546875     2.8809502062
               431    0.0800781250     2.8886910502
               432    0.0791015625     2.8964156091
               433    0.0781250000     2.9041207865
               434    0.0771484375     2.9118039540
               435    0.0761718750     2.9194629886
               436    0.0751953125     2.9270963060
               437    0.0742187500     2.9347028903
               438    0.0732421875     2.9422823209
               439    0.0722656250     2.9498347948
               440    0.0712890625     2.9573611457
               441    0.0703125000     2.9648628597
               442    0.0693359375     2.9723420871
               443    0.0683593750     2.9798016507
               444    0.0673828125     2.9872450517
               445    0.0664062500     2.9946764717
               446    0.0654296875     3.0021007723
               447    0.0644531250     3.0095234910
               448    0.0634765625     3.0169508354
               449    0.0625000000     3.0243896734
               450    0.0615234375     3.0318475202
               451    0.0605468750     3.0393325228
               452    0.0595703125     3.0468534391
               453    0.0585937500     3.0544196135
               454    0.0576171875     3.0620409462
               455    0.0566406250     3.0697278571
               456    0.0556640625     3.0774912409
               457    0.0546875000     3.0853424145
               458    0.0537109375     3.0932930522
               459    0.0527343750     3.1013551101
               460    0.0517578125     3.1095407350
               461    0.0507812500     3.1178621571
               462    0.0498046875     3.1263315635
               463    0.0488281250     3.1349609522
               464    0.0478515625     3.1437619609
               465    0.0468750000     3.1527456734
               466    0.0458984375     3.1619223988
               467    0.0449218750     3.1713014252
               468    0.0439453125     3.1808907480
               469    0.0429687500     3.1906967756
               470    0.0419921875     3.2007240163
               471    0.0410156250     3.2109747534
               472    0.0400390625     3.2214487172
               473    0.0390625000     3.2321427669
               474    0.0380859375     3.2430505957
               475    0.0371093750     3.2541624775
               476    0.0361328125     3.2654650746
               477    0.0351562500     3.2769413250
               478    0.0341796875     3.2885704311
               479    0.0332031250     3.3003279645
               480    0.0322265625     3.3121861021
               481    0.0312500000     3.3241139995
               482    0.0302734375     3.3360783006
               483    0.0292968750     3.3480437756
               484    0.0283203125     3.3599740684
               485    0.0273437500     3.3718325297
               486    0.0263671875     3.3835831035
               487    0.0253906250     3.3951912356
               488    0.0244140625     3.4066247694
               489    0.0234375000     3.4178548011
               490    0.0224609375     3.4288564704
               491    0.0214843750     3.4396096715
               492    0.0205078125     3.4500996797
               493    0.0195312500     3.4603176946
               494    0.0185546875     3.4702613124
               495    0.0175781250     3.4799349409
               496    0.0166015625     3.4893501783
               497    0.0156250000     3.4985261744
               498    0.0146484375     3.5074899920
               499    0.0136718750     3.5162769780
               500    0.0126953125     3.5249311478
               501    0.0117187500     3.5335055702
               502    0.0107421875     3.5420627227
               503    0.0097656250     3.5506747656
               504    0.0087890625     3.5594236513
               505    0.0078125000     3.5684009571
               506    0.0068359375     3.5777072884
               507    0.0058593750     3.5874510688
               508    0.0048828125     3.5977465098
               509    0.0039062500     3.6087105547
               510    0.0029296875     3.6204586296
               511    0.0019531250     3.6330991385
               512    0.0009765625     3.6467268036
               513    0.0000097656     3.6612628774
